Sno,Candidate,Constituency,Party,Criminal Cases,Education,Assets,Liabilities
167,Nadiar Chand Bouri,PARA (SC),BJP,0,12th Pass,"Rs 68,62,918 ~ 68 Lacs+","Rs 5,04,949 ~ 5 Lacs+"
168,Nandita Chowdhury,HOWRAH DAKSHIN,AITC,0,12th Pass,"Rs 26,44,16,942 ~ 26 Crore+","Rs 70,09,495 ~ 70 Lacs+"
169,Naresh Roy,DHUPGURI (SC),BJP,1,10th Pass,"Rs 92,33,086 ~ 92 Lacs+","Rs 3,50,000 ~ 3 Lacs+"
170,Niamot Sheikh,HARIHARPARA,AITC,1,12th Pass,"Rs 2,12,24,652 ~ 2 Crore+","Rs 38,630 ~ 38 Thou+"
171,Niladri Sekhar Dana,BANKURA,BJP,1,12th Pass,"Rs 18,31,808 (~18 Lacs+)","Rs 2,00,000 (~2 Lacs+)"
172,Nilima Mistry Bishal,BASANTI (SC),AITC,0,Post Graduate,"Rs 88,16,954 ~ 88 Lacs+","Rs 2,05,000 ~ 2 Lacs+"
173,Nirmal Kumar Dhara,INDUS (SC),BJP,1,Post Graduate,"Rs 10,49,835 ~ 10 Lacs+",Rs 0 ~
174,Nishith Pramanik,MATHABHANGA (SC),BJP,16,10th Pass,"Rs 92,95,849 ~ 92 Lacs+",Rs 0 ~
175,Nisith Kumar Malik,BARDHAMAN UTTAR (SC),AITC,3,Others,"Rs 86,13,889 ~ 86 Lacs+","Rs 4,55,668 ~ 4 Lacs+"
176,Noman Rai,DARJEELING,BJP,2,8th Pass,"Rs 12,84,024 ~ 12 Lacs+","Rs 77,486 ~ 77 Thou+"
177,Panna Lal Halder,DIAMOND HARBOUR,AITC,0,Graduate Professional,"Rs 6,67,71,155 ~ 6 Crore+",Rs 0 ~
178,Papia Adhikary,TOLLYGANJ,BJP,0,Post Graduate,"Rs 4,17,92,520 ~ 4 Crore+","Rs 22,23,000 ~ 22 Lacs+"
179,Paresh Ram Das,CANNING PASCHIM (SC),AITC,9,Graduate,"Rs 1,03,95,662 ~ 1 Crore+","Rs 34,58,906 ~ 34 Lacs+"
180,Paritosh Das,ALIPURDUARS,BJP,0,Graduate,"Rs 4,31,31,570 (~4 Crore+)","Rs 2,55,64,142 (~2 Crore+)"
181,Partha Ghosh,RANIGANJ,BJP,0,Post Graduate,"Rs 17,76,64,006 ~ 17 Crore+","Rs 35,13,888 ~ 35 Lacs+"
